id,genre
10861,Adventure
10861,Thriller
10862,Drama
10862,Romance
10865,Adventure
10865,Animation
10865,Family
10865,Science Fiction
10866,Drama
10866,Mystery
10866,Thriller
10867,Drama
10868,Drama
10869,Comedy
10869,Family
10869,Fantasy
10869,Romance
10873,Drama
10873,Horror
10874,Adventure
10874,Comedy
10874,Family
10874,Music
10876,Drama
10877,Action
10877,Comedy
10877,Crime
10877,Thriller
10878,Comedy
10878,Crime
10878,Romance
10881,Action
10881,Science Fiction
10882,Animation
10882,Family
10882,Fantasy
10882,Musical
10882,Romance
10885,Horror
10885,Mystery
10885,Thriller
1088,Drama
1088,Family
10890,Action
10890,Comedy
10891,Action
10891,Comedy
10891,Horror
10895,Animation
10895,Family
10897,Comedy
10897,Family
10897,Romance
10898,Animation
10898,Family
10898,Fantasy
1089,Action
1089,Crime
1089,Thriller
108,Drama
108,Foreign
108,Music
108,Mystery
10906,Horror
10907,Action
10907,Adventure
10907,Drama
10907,Romance
10908,Action
10908,Drama
10908,Romance
109091,Crime
109091,Drama
109091,Thriller
109099,Crime
109099,Drama
109099,Mystery
109099,Thriller
10909,Crime
10909,Thriller
1090,Mystery
1090,Science Fiction
1090,Thriller
10911,Action
10911,Adventure
10911,Drama
10911,War
1091,Horror
1091,Mystery
1091,Science Fiction
1091,Thriller
10922,Drama
10922,Mystery
10922,Romance
10922,Thriller
10923,Action
10923,Adventure
10923,Comedy
10923,Family
10925,Comedy
10925,Horror
10934,Comedy
10934,Drama
10934,Romance
10937,Comedy
10937,Drama
10937,Indie
10937,Romance
10938,Comedy
10938,Drama
10938,Romance
10940,Action
10940,Adventure
10940,Drama
10940,Science Fiction
109410,Drama
109410,Sport
109414,Action
109414,Comedy
109417,Musical
109418,Comedy
109421,Crime
109421,Drama
109421,Thriller
109424,Action
109424,Drama
109424,Thriller
109428,Horror
109431,Comedy
109431,Crime
109439,Comedy
109443,Comedy
109445,Adventure
109445,Animation
109445,Family
109445,Musical
109451,Animation
109451,Comedy
109451,Family
10945,Action
10945,Comedy
10945,Thriller
10946,Documentary
10946,Family
10947,Comedy
10947,Drama
10947,Family
10947,Music
10948,Adventure
10948,Animation
10948,Drama
10948,Family
109491,Drama
109491,Fantasy
109491,Romance
10950,Drama
109513,Action
109513,Comedy
109513,Romance
10951,Action
10951,Adventure
10951,Comedy
10951,Romance
10952,Crime
10952,Drama
10952,Thriller
10956,Adventure
10956,Comedy
10956,Drama
10956,Mystery
10956,Romance
10957,Animation
10957,Fantasy
109584,Drama
10961,Comedy
10961,Horror
10961,Thriller
109689,Drama
109689,Romance
109729,Drama
109729,Erotic
109729,Thriller
10972,Horror
10972,Mystery
10972,Thriller
10973,Adventure
10973,Horror
10973,Science Fiction
10974,Action
10974,Adventure
10974,Comedy
10975,Action
10975,Adventure
10975,Comedy
10975,Crime
10975,Thriller
10982,Animation
10982,Comedy
10982,Family
10984,Horror
10984,Thriller
10985,Comedy
10985,Family
10986,Comedy
10987,Horror
10987,Thriller
10990,Drama
10990,Indie
10990,Mystery
10990,Thriller
10991,Action
10991,Adventure
10991,Animation
10991,Family
10991,Fantasy
10992,Comedy
10992,Family
10995,Drama
10995,Romance
10996,Adventure
10996,Animation
10996,Comedy
10996,Family
10996,Fantasy
10996,Science Fiction
10997,Drama
10997,Indie
10998,Drama
10998,Romance
10998,Suspense
10998,Thriller
10999,Action
10999,Adventure
10999,Thriller
109,Comedy
109,Drama
109,Foreign
109,Mystery
11000,Comedy
11001,Action
11001,Comedy
11001,Crime
11001,Thriller
11002,Action
11002,Adventure
11002,Drama
11002,Romance
11003,Comedy
11003,Romance
11004,Comedy
11004,Drama
11005,Drama
11006,Action
11006,Adventure
11006,Comedy
11006,Road Movie
11007,Comedy
11007,Drama
11007,Family
11008,Comedy
11008,Family
11009,Drama
11009,Music
11010,Comedy
11010,Drama
11010,Romance
110112,Action
110112,Comedy
11011,Comedy
11011,Family
11012,Drama
11012,Romance
11013,Comedy
11013,Drama
11013,Romance
110146,Comedy
110146,Drama
110146,Musical
11015,Horror
11015,Mystery
11015,Thriller
110160,Drama
110160,Romance
11016,Action
11016,Drama
11016,Thriller
11017,Comedy
11022,Action
11022,Crime
11022,Drama
11022,Mystery
11022,Thriller
11023,Drama
11024,Adventure
11024,Comedy
11024,Fantasy
11024,Mystery
11025,Action
11025,Adventure
11025,Comedy
11025,Family
11025,Music
11026,Horror
11026,Mystery
11026,Thriller
11030,Comedy
11030,Documentary
11030,Romance
11031,Comedy
11031,Music
11033,Horror
11033,Mystery
11033,Romance
11033,Thriller
11034,Drama
11034,Romance
110354,Documentary
11036,Drama
11036,Romance
11037,Action
11037,Thriller
11037,War
110398,Drama
110398,History
1103,Action
1103,Science Fiction
110410,Action
110410,Crime
110410,Drama
110415,Action
110415,Drama
110415,Science Fiction
11041,Comedy
110420,Animation
110420,Drama
110420,Family
110420,Fantasy
11044,Comedy
11044,Drama
11044,Fantasy
11044,Romance
11045,Action
11045,Adventure
11045,Comedy
11046,Action
11046,Adventure
11046,Drama
11046,History
11046,War
11047,Adventure
11047,Animation
11047,Comedy
11047,Family
11049,Animation
11049,Music
11049,Musical
11049,Science Fiction
11050,Comedy
11050,Drama
11050,Family
11050,Romance
11051,Drama
11052,Action
11052,Adventure
11052,Animation
11052,Comedy
11052,Family
11052,Fantasy
11052,Science Fiction
11052,Thriller
11054,Comedy
11054,Drama
11054,Family
11054,Music
11054,Romance
110552,Action
11059,Action
11059,Horror
11059,Thriller
11064,Comedy
11065,Drama
11065,Romance
11066,Comedy
11066,Romance
11067,Comedy
11067,Sports Film
11068,Comedy
11068,Drama
11068,Romance
11069,Action
11069,Comedy
11069,Horror
11069,Science Fiction
11071,Horror
11071,Science Fiction
11072,Comedy
11072,Western
11074,Action
11074,Adventure
11074,Mystery
11074,Suspense
11074,Thriller
11075,Drama
11075,Horror
11075,Thriller
11077,Comedy
11078,Action
11078,Comedy
11078,Crime
11078,Thriller
11081,Action
11081,Drama
11081,Mystery
11081,Thriller
11086,Drama
11086,Romance
11087,Drama
11087,Thriller
11088,Action
11088,Crime
11088,Drama
11088,Thriller
11090,Action
11090,Comedy
11091,Comedy
11091,Drama
11091,Romance
11092,Crime
11092,Drama
11092,Mystery
11092,Thriller
11093,Drama
11096,Horror
11096,Mystery
11096,Suspense
11096,Thriller
11099,Drama
11099,Mystery
11099,Science Fiction
11099,Thriller
110,Drama
110,Mystery
110,Romance
11101,Drama
11101,History
11101,War
11104,Comedy
11104,Drama
11104,Romance
111083,Mystery
111083,Thriller
11113,Musical
11114,Animation
11114,Comedy
11114,Family
11114,Fantasy
111190,Drama
11120,Action
11120,Adventure
11120,Drama
11123,Action
11123,Drama
11123,Thriller
11127,Science Fiction
11128,Action
11128,Drama
11128,Thriller
11130,Comedy
11130,Drama
11130,Family
11130,Romance
11132,Comedy
11132,Family
11132,Music
11132,Romance
11133,Horror
11134,Action
11134,Comedy
11134,Crime
11134,Thriller
11135,Adventure
11135,Animation
11135,Crime
11135,Fantasy
11137,Comedy
11137,Romance
11141,Action
11141,Comedy
11141,Romance
11141,Thriller
11143,Action
11143,Comedy
11143,Drama
11143,Thriller
111440,Horror
111440,Mystery
111440,Thriller
11152,Drama
11152,Horror
11153,Adventure
11153,Comedy
11153,Romance
11156,Drama
11156,History
11158,Adventure
11158,Comedy
11158,Family
11158,Science Fiction
11164,Action
