id,title,avgvote,releaseyear,tagline
10431,War,6.000000,2007,Vengeance is the ultimate weapon.
104329,Last Passenger,6.300000,2013,A small group of everyday passengers on a speeding London commuter train battle their warped driver who has a dark plan for everyone on board.
10435,Chaplin,8.000000,1992,Everyone has a wild side. Even a legend.
10436,The Age of Innocence,6.900000,1993,In a world of tradition. In an age of innocence. They dared to break the rules.
10437,The Muppet Christmas Carol,7.400000,1992,
10438,Beethoven's 2nd,5.200000,1993,The Newton Family is going to the dogs...
10439,Hocus Pocus,6.000000,1993,It's just a bunch of Hocus Pocus.
10440,Manhattan Murder Mystery,7.600000,1993,
10442,So I Married an Axe Murderer,6.600000,1993,The Honeymoon Was Killer
10443,Fearless,6.800000,1993,Some people are afraid of nothing.
10449,When a Man Loves a Woman,5.600000,1994,
10451,Eat Drink Man Woman,8.300000,1994,
10461,Get Carter,5.900000,2000,The Truth Hurts
10464,"Corrina, Corrina",5.400000,1994,
10466,The Money Pit,6.600000,1986,For everyone who's ever been deeply in Love or deeply in debt.
10468,28 Days,5.900000,2000,The Life of the Party... before she got a life.
10471,Next Friday,7.900000,2000,The suburbs make the hood look good.
10473,DragonHeart 2 - A New Beginning,7.200000,2000,
10474,The Basketball Diaries,7.100000,1995,The true story of the death of innocence and the birth of an artist.
104755,The Lords of Salem,4.800000,2013,We've been waiting... we've always been waiting
10476,Hustle & Flow,6.900000,2005,The music will inspire them. The dream will unite them. This summer get crunk.
10477,Driven,5.200000,2001,Get ready for the race of your life.
10478,Tin Cup,6.200000,1996,Golf Pro. Love Amateur.
10479,Rules of Engagement,5.500000,2000,A hero should never have to stand alone.
10480,Nurse Betty,5.500000,2000,
10481,102 Dalmatians,4.600000,2000,Meet Two Unlikely Heroes With A Bone To Pick.
10483,Death Race,5.900000,2008,Get ready for a killer race.
10485,Ghost Dad,4.500000,1990,
10488,Nim's Island,5.600000,2008,Your adventure starts here.
10489,Cujo,5.900000,1983,Now there's a new name for terror...
10491,Enigma,7.700000,2001,Unlock the secret.
10493,Dead Calm,6.500000,1989,High seas. Deep terror. Try to stay calm.
10494,Perfect Blue,7.600000,1997,The color of illusion is Perfect Blue.
10495,"The Karate Kid, Part III",5.700000,1989,"First it was teacher to student. Then it was father to son. Now, it's man to man."
10497,Bitter Moon,6.700000,1992,A kinky voyage with a full head of steam.
10498,Point of No Return,6.100000,1993,"The Government gave her a choice. Death. Or life as an assassin. Now, there's no turning back"
1049,Sommersby,6.100000,1993,
104,Run Lola Run,7.100000,1998,Every second of every day you're faced with a decision that can change your life.
105001,Iceman,4.400000,2014,
10501,The Road to El Dorado,6.500000,2000,They came for the gold... they stayed for the adventure.
10502,The Man Without a Face,5.000000,1993,
10503,Happy-Go-Lucky,6.400000,2008,
105077,Battlestar Galactica: The Plan,6.700000,2009,They have a plan!
10510,Miracle on 34th Street,6.900000,1994,"If you really believe, anything can happen."
10511,In America,7.300000,2002,
10513,Plan 9 from Outer Space,5.900000,1959,Unspeakable Horrors From Outer Space Paralyze The Living And Resurrect The Dead!
10514,The Andromeda Strain,6.600000,1971,The picture runs 130 minutes!... The story covers 96 of the most critical hours in man's history!... The suspense will last through your lifetime!
10515,Castle in the Sky,7.500000,1986,
10516,The Gendarme and the Creatures from Outer Space,7.000000,1978,
10518,Marathon Man,7.400000,1976,One man's dangerous attempts to clear his father's name.
1051,The French Connection,6.500000,1971,Doyle is bad news - but a good cop.
105210,Thermae Romae,5.900000,2012,
10521,Bride Wars,5.500000,2009,May the best bride win
10523,W.,5.600000,2008,W.
10527,Madagascar: Escape 2 Africa,6.000000,2008,Still together. Still lost!
10528,Sherlock Holmes,6.700000,2009,Nothing escapes him.
10529,Outlander,6.700000,2008,It destroyed his world. He won't let it destroy ours.
1052,Blow-Up,6.900000,1966,Michelangelo Antonioni's first British film
10530,Pocahontas,6.300000,1995,An American legend comes to life.
10533,The Scarlet Letter,5.300000,1995,"When intimacy is forbidden and passion is a sin, love is the most defiant crime of all."
10534,White Squall,6.500000,1996,
10535,Spy Hard,6.600000,1996,
10536,The Italian Job,7.800000,1969,"Introducing the plans for a new business venture: The Italian Job."
10537,The Doors,7.000000,1991,"The Ultimate Story of Sex, Drugs & Rock 'N' Roll"
10538,Passenger 57,5.700000,1992,"He's an ex-cop with a bad mouth, a bad attitude, and a bad seat. For the terrorists on flight 163 . . . he's very bad news."
10539,James and the Giant Peach,5.800000,1996,Adventures this big don't grow on trees.
10540,Outland,6.600000,1981,On Jupiter's moon something deadly is happening.
10543,Fear,6.000000,1996,Together forever. Or else.
10544,Ned Kelly,6.500000,2003,
10545,The Hunchback of Notre Dame,6.300000,1996,Join The Party
10546,The Crow: City of Angels,7.000000,1996,Believe in the power of another
10547,The Arrival,6.400000,1996,The greatest danger facing our world has been the planet's best kept secret... until now.
10549,Hamlet,6.900000,1996,
10555,Shark Tale,5.700000,2004,The story of what happens when one little fish tells a great white lie...
10559,Frequency,6.900000,2000,The future is listening.
10560,Center Stage,6.600000,2000,Life doesn't hold tryouts.
10562,Under Suspicion,5.900000,2000,
10564,Where The Heart Is,6.100000,2000,Laughter is harder... Friendship is stronger... Trust is deeper... When it comes from the heart.
10567,Dinosaur,6.200000,2000,You have never seen anything like this.
10569,Small Time Crooks,6.700000,2000,They took a bite out of crime
10576,Psycho II,6.500000,1983,"It's 22 years later, and Norman Bates is finally coming home."
10577,Dracula 2000,4.800000,2000,The Most Seductive Evil of All Time Has Now Been Unleashed in Ours.
10585,Child's Play,6.300000,1988,Chucky is one mean S.O.B.
10586,The Ghost and the Darkness,7.300000,1996,Prey For The Hunters
10587,Police Academy 4: Citizens on Patrol,5.100000,1987,"On land, on sea, or in the air, no place is safe from them!"
10588,Dr. Seuss' The Cat in the Hat,5.500000,2003,Don't mess with the hat.
10589,After the Sunset,6.000000,2004,Who will walk away?
10590,We Were Soldiers,6.700000,2002,400 U.S paratroopers. 4000 Vietnamese soldiers. 12 000 miles away from home. 1 man led them into battle.
10591,The Girl Next Door,6.000000,2004,Matt never saw her coming... but all his friends had!
10592,Hart's War,6.100000,2002,"Beyond Courage, Beyond Honor."
10596,Replicant,5.000000,2001,
105,Back to the Future,7.400000,1985,He's the only kid ever to get into trouble before he was born.
10601,Peter Pan,6.700000,2003,All children grow up except one.
106021,Erased,5.500000,2012,Be careful who you work for.
106035,The Shining,6.700000,1997,110 empty hotel rooms - filled with horror!
10603,George of the Jungle,5.400000,1997,Watch out!
10606,The Philadelphia Experiment,6.400000,1984,Will you survive?
10607,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,6.300000,1996,
10610,The Medallion,5.800000,2003,
10611,Barbershop,6.000000,2002,Everyone's gettin' lined up.
10617,Once Upon a Time in China,7.500000,1991,Never was a Hero needed more...
10618,Once Upon a Time in China II,6.900000,1992,
10622,Mr. Nice Guy,6.800000,1997,Fight first. Apologize later.
10623,Cradle 2 the Grave,6.400000,2003,Mortal enemies make dangerous friends.
10625,Mean Girls,6.700000,2004,Welcome to girl world.
10628,Kangaroo Jack,5.100000,2003,He stole the money... And he's not giving it back.
10632,The Hunted,6.300000,2003,Some men should not be found.
10633,In the Heat of the Night,7.500000,1967,They got a murder on their hands.  They don't know what to do with it.
10634,Friday,7.100000,1995,A lot can go down between thursday and saturday...
10637,Remember the Titans,7.200000,2000,"Before they could win, they had to become one."
10641,Autumn in New York,5.900000,2000,
10642,Loser,5.200000,2000,Dare to be different.
10647,Pay It Forward,6.600000,2000,"When someone does you a big favor, don't pay it back... Pay It Forward"
10648,Magnum Force,7.100000,1973,A man's got to know his limitations.
10649,The Enforcer,7.500000,1976,The dirtiest Harry of them all.
10650,Sudden Impact,6.800000,1983,Dirty Harry is at it again
10651,The Dead Pool,6.200000,1988,Dirty Harry Just Learned A New Game.
10652,Hamburger Hill,5.800000,1987,War at its worst. Men at their best.
10653,The Seven Year Itch,7.200000,1955,It TICKLES and TANTALIZES! - The funniest comedy since laughter began!
10654,Hair,6.900000,1979,Let the sun shine in!
10655,Gettysburg,6.800000,1993,
10656,Subway,6.900000,1985,An underground story where lives intertwine
10657,Needful Things,6.400000,1993,Buy Now. Pay Later.
10658,Howard the Duck,5.100000,1986,You will believe that a duck can talk.
10660,It Could Happen to You,6.800000,1994,
10661,You Don't Mess With the Zohan,5.700000,2008,Lather. Rinse. Save the world.
10663,The Waterboy,5.900000,1998,You can mess with him. But don't mess with his water.
106646,The Wolf of Wall Street,8.000000,2013,EARN. SPEND. PARTY.
10664,[REC] 2,6.400000,2009,Fear Revisited
10665,The Strangers,5.800000,2008,Lock the door. Pretend you're safe.
